ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000829398,SINGLE_HOUSE,L,1315650.0,,,330.0,11.5,,Grenchen,2540
4000829396,SINGLE_HOUSE,L,1102500.0,,,330.0,9.5,1975.0,Vauffelin,2537
4000829393,ROW_HOUSE,L,1073100.0,,,180.0,8.5,,Lengnau BE,2543
4000828904,SINGLE_HOUSE,L,1315650.0,863.0,,160.0,5.5,2008.0,Büetigen,3263
4000827096,VILLA,L,8232000.0,,,730.0,11.5,,Muzzano,6933
4000826381,SINGLE_HOUSE,L,1911000.0,641.0,,170.0,7.5,1962.0,Porto Ronco,6613
4000825665,SINGLE_HOUSE,L,2190300.0,1018.0,,350.0,13.5,2013.0,Villars-Burquin,1423
4000825664,ROW_HOUSE,L,735000.0,255.0,,300.0,8.5,1991.0,Le Château-de-Ste-Croix,1450
4000825658,ROW_HOUSE,L,3601500.0,1152.0,,400.0,9.5,1987.0,Coppet,1296
4000825655,SINGLE_HOUSE,L,1896300.0,1107.0,,280.0,11.0,1890.0,Tenniken,4456
4000825654,SINGLE_HOUSE,L,1102500.0,848.0,,240.0,9.5,1978.0,Vionnaz,1895
4000824240,SINGLE_HOUSE,L,1896300.0,1040.0,,260.0,11.5,1970.0,Hinterkappelen,3032
4000821770,SINGLE_HOUSE,L,2190300.0,,,270.0,7.5,2020.0,Lavertezzo,6595
4000817643,ROW_HOUSE,L,1381800.0,304.0,,170.0,7.5,2012.0,Sirnach,8370
4000817642,SINGLE_HOUSE,L,1095150.0,440.0,,250.0,10.0,1908.0,Bettwiesen,9553
4000814463,SINGLE_HOUSE,L,2778300.0,636.0,,300.0,11.5,1915.0,Grosshöchstetten,3506
4000813707,SINGLE_HOUSE,L,0.0,1369.0,,290.0,9.5,1997.0,Ropraz,1088
4000813702,ROW_HOUSE,L,1174530.0,200.0,,500.0,9.5,1970.0,Bad Zurzach,5330
4000813700,SINGLE_HOUSE,L,4189500.0,420.0,,280.0,11.5,2023.0,Reinach BL,4153
4000813698,SINGLE_HOUSE,L,1234800.0,564.0,,260.0,13.5,1938.0,Niedergösgen,5013
4000813580,SINGLE_HOUSE,L,4704000.0,1610.0,,460.0,12.5,1977.0,Affoltern am Albis,8910
4000811637,SINGLE_HOUSE,L,1749300.0,525.0,,310.0,9.5,1833.0,Maggia,6673
4000811416,BIFAMILIAR_HOUSE,L,2205000.0,209.0,,220.0,9.0,1988.0,Schwyz,6430
4000810957,BIFAMILIAR_HOUSE,L,1989490.0,321.0,,200.0,8.5,2012.0,Birmenstorf AG,5413
4000810740,SINGLE_HOUSE,L,3160500.0,2046.0,,680.0,9.5,1981.0,Vilters,7324
4000808336,BIFAMILIAR_HOUSE,L,1793400.0,373.0,,250.0,11.5,2000.0,Rothrist,4852
4000808329,SINGLE_HOUSE,L,1396500.0,800.0,,180.0,7.5,2018.0,Nax,1973
4000808328,SINGLE_HOUSE,L,1911000.0,1218.0,,330.0,7.5,1988.0,Carrouge,1084
4000808327,SINGLE_HOUSE,L,1808100.0,870.0,,220.0,5.5,2009.0,Vuadens,1628
4000808325,SINGLE_HOUSE,L,4483500.0,717.0,,250.0,8.5,1927.0,Lausanne,1005
4000808324,SINGLE_HOUSE,L,2521050.0,542.0,,200.0,7.5,1997.0,Schönenbuch,4124
4000803113,ROW_HOUSE,L,2190300.0,350.0,,290.0,9.5,2021.0,Sullens,1036
4000802507,VILLA,L,3351600.0,768.0,,410.0,14.0,1860.0,Arnex-sur-Nyon,1277
4000802442,SINGLE_HOUSE,L,2182950.0,355.0,,180.0,7.5,2014.0,Reute AR,9411
4000802415,SINGLE_HOUSE,L,0.0,544.0,,161.0,7.5,1982.0,Altstätten SG,9450
4000802408,SINGLE_HOUSE,L,1462650.0,505.0,,230.0,7.5,1986.0,Walzenhausen,9428
4000802389,BIFAMILIAR_HOUSE,L,573300.0,678.0,,,7.0,1750.0,Reutigen,3647
4000835335,SINGLE_HOUSE,L,1653750.0,768.0,,360.0,9.5,1991.0,Vétroz,1963
